ASV,Smp1,Smp2,Smp3,Smp4,Smp5,Smp6,Smp7,Smp8,Domain,Phylum,Class,Order,Family,Genus,Species
ASV283,19,65,100,50,27,22,0,35,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophaceae,,
ASV286,33,0,53,0,92,61,18,39,d__Bacteria,,,,,,
ASV289,0,25,87,47,20,64,49,46,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Syntrophomonadaceae,g__Syntrophomonas,
ASV29,529,248,458,396,305,302,137,376,d__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Aminivibrio,
ASV294,45,34,50,73,85,52,46,51,d__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,,
ASV3,91925,49337,99876,48260,11531,5234,1616,9140,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Desulfuromonadaceae,g__Desulfuromonas,
ASV30,284,166,358,144,427,749,268,789,d__Bacteria,p__Firmicutes,,,,,
ASV302,53,0,39,17,164,26,14,31,d__Bacteria,,,,,,
ASV304,49,120,275,136,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
ASV305,98,103,249,99,0,0,0,26,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
ASV307,0,0,0,0,31,92,39,172,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,,
ASV311,37,58,175,45,88,0,0,0,d__Bacteria,p__Bacteroidetes,,,,,
ASV312,51,58,121,0,64,25,9,49,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,,
ASV313,0,138,264,122,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Sulfurospirillum,
ASV314,0,0,0,0,17,206,90,83,d__Bacteria,p__Bacteroidetes,,,,,
ASV32,980,386,863,634,1034,468,338,651,d__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Cloacibacillus,
ASV320,33,44,119,23,94,0,39,46,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,,,
ASV330,66,57,156,50,0,0,0,0,d__Bacteria,p__Bacteroidetes,,,,,
ASV331,67,64,163,33,84,51,0,40,d__Bacteria,p__Bacteroidetes,,,,,
ASV343,29,32,1,31,49,76,18,47,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,,,
ASV346,26,35,52,20,49,78,29,80,d__Bacteria,p__Bacteroidetes,,,,,
ASV348,33,51,55,62,31,35,27,39,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,,,
ASV352,0,0,0,0,41,120,39,117,d__Bacteria,,,,,,
ASV36,165,20,48,21,6,153,34,103,d__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,,,
ASV366,0,0,0,0,108,178,0,227,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,
ASV37,997,612,1573,606,85,156,46,168,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Petrimonas,
ASV376,0,0,120,39,372,0,0,0,d__Bacteria,p__Cloacimonetes,c__Candidatus Cloacamonas,,,,
ASV384,314,58,100,53,0,0,0,0,d__Bacteria,p__Bacteroidetes,,,,,
ASV392,118,81,14,103,0,0,0,0,d__Bacteria,,,,,,
ASV393,52,65,142,59,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfomicrobiaceae,g__Desulfomicrobium,
ASV394,54,22,63,0,52,52,22,108,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,
