OTU,S1,S2,S3,S4,S5,S6,S7,S8,S9,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV189,0,0,0,0,0,0,647,0,56,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Order III,f__BIgi5,,
ASV134,0,9,13,0,0,9,281,68,291,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__uncultured,
ASV201,56,27,57,112,52,34,147,44,249,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__uncultured,
ASV161,0,0,0,335,280,165,0,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,
ASV129,43,37,80,48,308,133,39,22,113,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Leptospiraceae,g__uncultured,
ASV147,165,70,180,0,335,167,0,0,9,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,
ASV138,0,0,0,124,356,110,0,37,151,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfomicrobiaceae,g__Desulfomicrobium,
ASV80,142,233,638,0,0,0,0,0,92,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__uncultured,
ASV132,53,134,245,330,0,15,65,0,36,k__Bacteria,p__Hydrogenedentes,,,,,
ASV384,0,0,0,0,0,0,637,0,11,k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Planctomycetales,f__Planctomycetaceae,g__Planctomyces,
ASV75,0,0,42,11,0,0,206,66,370,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Leucobacter,
ASV109,0,104,208,74,101,54,95,14,187,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__PL-11B10,,
ASV197,101,280,380,63,51,34,0,0,0,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Sulfurospirillum,
ASV164,0,0,0,284,260,172,0,4,0,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Blvii28 wastewater-sludge group,
ASV145,135,47,117,46,80,0,54,65,241,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelothrix,
ASV182,132,178,454,88,41,0,24,9,49,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__Spirochaeta 2,
ASV222,0,0,0,0,0,0,632,0,0,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Pseudofulvimonas,
ASV430,0,0,0,0,0,0,88,131,259,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__uncultured,
ASV141,0,0,0,0,25,8,204,69,338,k__Bacteria,p__Hydrogenedentes,,,,,
ASV73,65,93,198,43,198,85,83,0,89,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__PL-11B10,,
ASV424,0,0,0,0,0,0,605,0,0,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosomonas,
ASV81,579,202,278,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
ASV102,157,151,360,58,65,15,80,0,36,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
