OTU,S1,S2,S3,S4,S5,S6,S7,S8,S9,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu41,6,6,8,2,13,12,59,84,1720,k__Bacteria,p__Verrucomicrobia,c__Spartobacteria,o__Chthoniobacterales,f__FukuN18 freshwater group,,
Otu78,293,200,619,197,190,62,153,21,106,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XIII,g__uncultured,
Otu77,2,2,11,0,7,5,362,166,696,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,
Otu93,136,81,176,403,392,160,83,30,121,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__uncultured,
Otu243,0,0,0,1494,6,3,1,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,
Otu92,20,15,39,106,122,49,188,147,586,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,
Otu103,476,385,995,28,1,3,9,6,14,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__uncultured,
Otu158,0,0,0,149,159,81,551,51,275,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__WCHB1-69,,
Otu109,80,95,323,189,233,103,47,42,495,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Macellibacteroides,
Otu122,1,10,10,208,246,94,6,163,391,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__Candidatus Villogracilis,
Otu59,14,5,30,0,15,3,503,87,630,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,g__Hyphomonas,
Otu225,0,0,0,1,0,0,882,26,349,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomonas,
Otu84,58,15,58,666,361,176,13,8,74,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__uncultured,
Otu51,0,0,0,0,902,403,9,3,7,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,,
Otu47,475,319,847,4,35,5,9,16,17,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
Otu327,0,0,0,0,0,0,1058,2,5,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosomonas,
Otu44,1,189,548,4,221,76,49,44,280,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Hydrogenophilales,f__Hydrogenophilaceae,g__Thiobacillus,
Otu137,425,80,186,254,363,171,3,0,7,k__Bacteria,p__Cloacimonetes,c__GZKB75,,,,
Otu165,0,0,4,1,7,3,456,96,501,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__480-2,g__K2-78,
Otu145,0,4,4,0,2,3,775,36,231,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,
Otu262,49,72,80,1022,20,23,1,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__uncultured,
Otu90,262,124,283,53,176,87,49,47,221,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Leptospiraceae,g__Leptonema,
Otu76,145,278,776,14,36,9,16,33,94,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__uncultured,
Otu128,131,20,97,43,88,57,188,73,430,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Proteiniphilum,
Otu142,1,0,0,470,188,203,95,8,79,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__uncultured,
Otu154,2,0,10,21,139,33,326,69,451,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
Otu170,3,6,8,2,16,1,187,84,817,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Leadbetterella,
Otu144,130,152,419,300,142,86,3,0,7,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__uncultured,
Otu372,0,0,3,0,0,0,884,0,1,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidia Incertae Sedis,f__Draconibacteriaceae,g__uncultured,
