SV,Ex_S1,Ex_S2,Ex_S3,Ex_S4,Ex_S5,Ex_S6,Ex_S7,Ex_S8,Ex_S9,Ex_S10,Ex_S11,Ex_S12,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu152,6,7,18,279,8,61,3,14,20,2,9,3,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,
Otu79,22,21,17,104,6,271,8,504,28,34,54,269,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,,
Otu93,145,139,53,1944,278,431,14,16,19,380,22,33,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,,
Otu88,138,0,33,5,118,24,474,125,1346,2,593,73,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__KD1-131,,
Otu84,7,51,5,561,7,108,3,32,51,23,22,247,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
Otu82,0,1,0,0,0,0,0,9,152,0,1522,3,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,,
Otu111,4,2,0,1,4,1,43,112,247,98,485,20,k__Bacteria,p__Cloacimonetes,,,,,
Otu114,41,40,5,56,121,141,88,123,50,106,69,13,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__PL-11B10,,
Otu74,5,946,20,3178,3,709,2,63,181,70,4,66,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pannonibacter,
Otu105,106,11,6,101,13,45,15,64,53,11,21,2,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Leeia,
Otu99,32,6,10,64,66,694,15,366,27,308,7,14,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azonexus,
Otu109,0,0,0,0,0,1,26,48,486,54,241,34,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,,
Otu98,2,0,0,0,4,1088,0,0,0,8,0,0,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__SM1A02,
Otu71,18,173,9,486,10,757,0,75,7,16,2,14,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Camelimonas,
Otu112,130,27,31,376,20,100,43,188,323,23,86,73,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Proteiniphilum,
Otu103,0,7,1,546,19,805,0,316,46,120,0,14,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhodobiaceae,g__Parvibaculum,
Otu115,13,5,29,231,24,254,4,2285,606,220,90,140,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Hydrogenophilales,f__Hydrogenophilaceae,,
Otu135,210,36,197,45,616,67,4,6,0,1,1,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
Otu161,25,5,7,18,12,15,132,151,1441,127,147,19,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
Otu73,22,29,33,187,2,486,0,2,0,7,0,6,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Arenimonas,
