OTU,S1,S2,S3,S4,S5,S6,S7,S8,S9,Kingdom,Phylum,Class,Order,Family,Genus,Species
SV29,131,77,110,454,85,38,232,69,218,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__uncultured,
SV2,0,396,1106,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__uncultured,
SV163,0,0,12,6,8,2,945,24,76,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,,
SV5,367,211,582,39,51,16,35,33,132,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Petrimonas,
SV14,423,101,272,0,19,0,381,5,61,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__WCHB1-69,,
SV164,2,2,12,0,4,0,158,200,538,k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Planctomycetales,f__Planctomycetaceae,g__Planctomyces,
SV144,23,6,15,4,4,0,260,135,496,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidia Incertae Sedis,f__Draconibacteriaceae,g__uncultured,
SV143,2,7,16,0,10,12,594,60,89,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Hydrogenophilales,f__Hydrogenophilaceae,g__uncultured,
SV95,15,3,26,3,7,0,77,133,582,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Stappia,
SV17,102,84,236,14,60,18,61,80,240,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidia Incertae Sedis,f__Draconibacteriaceae,g__uncultured,
SV32,81,26,95,195,178,70,99,44,137,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
SV104,5,10,24,0,51,12,41,78,724,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__uncultured,
SV318,0,0,4,0,3,0,479,66,107,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Aquamicrobium,
SV8,202,219,434,39,4,0,6,15,18,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Leptospiraceae,g__uncultured,
SV574,0,0,0,62,0,0,493,34,97,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Azospirillum,
SV398,0,4,2,0,0,0,295,98,243,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__uncultured,
SV108,6,3,22,4,48,15,335,64,180,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,
SV161,10,2,12,12,32,17,276,66,211,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Arcobacter,
SV214,52,5,8,84,78,67,125,56,212,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,
SV72,3,13,39,3,44,14,56,122,318,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Hydrogenophaga,
SV15,203,127,268,64,39,25,20,13,50,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__uncultured,
SV101,45,13,25,126,214,77,39,33,102,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Acetobacterium,
SV9,121,158,433,0,0,0,3,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfomicrobiaceae,g__Desulfomicrobium,
SV122,5,3,20,2,7,3,291,34,159,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Alishewanella,
SV22,433,110,174,6,7,6,2,2,7,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Aminivibrio,
SV117,5,12,21,4,8,0,51,89,340,k__Bacteria,p__Chlorobi,c__Chlorobia,o__Chlorobiales,f__OPB56,,
SV193,0,2,10,3,9,4,120,73,280,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,,
SV13,97,157,301,29,14,13,9,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
SV55,71,31,51,46,30,15,68,47,185,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__uncultured,
SV332,0,3,3,340,170,77,15,0,3,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__uncultured,
SV11,44,156,352,0,0,0,1,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
SV567,0,0,0,0,0,0,0,111,282,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosomonas,
SV405,0,0,2,0,48,11,0,41,459,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Arenimonas,
SV102,30,23,24,85,13,15,84,40,151,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__uncultured,
SV1156,0,0,0,0,0,0,277,11,122,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomonas,
SV553,0,0,0,0,2,0,96,70,209,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,
SV367,0,2,3,89,78,29,3,74,108,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__Candidatus Villogracilis,
SV65,29,33,42,203,133,40,34,1,0,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__KD1-131,,
SV566,0,0,0,0,0,0,0,74,345,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
SV635,0,0,0,63,30,22,166,27,83,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__WCHB1-69,,
SV133,4,4,17,37,31,13,59,58,163,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,
SV673,0,0,0,0,0,0,165,81,14,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__SM1A02,
SV594,0,0,0,0,0,0,260,27,49,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__uncultured,
SV500,3,0,0,2,4,6,0,38,441,k__Bacteria,p__Verrucomicrobia,c__Spartobacteria,o__Chthoniobacterales,f__FukuN18 freshwater group,,
SV1009,0,0,0,620,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,
SV26,327,45,130,40,0,0,31,0,0,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Acholeplasmatales,f__Acholeplasmataceae,g__Acholeplasma,
SV568,0,0,0,11,98,48,19,54,131,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylocaldum,
SV565,0,0,0,0,0,0,0,85,265,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__Treponema 2,
SV45,25,27,67,80,72,22,13,16,138,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Macellibacteroides,
SV21,14,86,175,161,25,11,0,0,0,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Blvii28 wastewater-sludge group,
SV25,263,71,131,18,2,0,12,0,4,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__vadinBC27 wastewater-sludge group,
SV1406,0,0,0,0,0,0,310,0,0,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosomonas,
SV54,25,13,52,95,0,0,168,7,19,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,
SV139,0,10,16,18,0,3,144,42,57,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Dechloromonas,
SV73,61,14,39,55,28,12,39,38,82,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__uncultured,
SV1010,0,0,0,535,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,
SV640,0,2,0,0,0,0,226,11,51,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,
SV66,101,21,42,103,92,49,0,0,0,k__Bacteria,p__Cloacimonetes,c__GZKB75,,,,
SV30,50,43,107,61,35,18,35,7,22,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XIII,g__uncultured,
SV590,0,0,0,0,0,0,122,35,136,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__480-2,g__K2-78,
SV24,0,35,136,2,56,25,25,9,76,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Hydrogenophilales,f__Hydrogenophilaceae,g__Thiobacillus,
SV202,15,2,9,236,84,35,5,4,17,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__uncultured,
SV275,1,0,5,0,8,2,60,35,213,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,g__Hyphomonas,
SV530,2,3,0,0,3,0,65,30,225,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Leadbetterella,
SV112,42,5,22,16,25,21,52,30,95,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Proteiniphilum,
SV1407,0,0,0,0,0,0,261,0,0,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidia Incertae Sedis,f__Draconibacteriaceae,g__uncultured,
SV18,116,65,214,0,0,0,0,4,0,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
SV471,250,0,0,32,16,9,62,6,18,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Acholeplasmatales,f__Acholeplasmataceae,g__Acholeplasma,
SV476,28,0,0,0,67,33,0,35,138,k__Bacteria,p__Tenericutes,c__Mollicutes,o__NB1-n,f__RFN82,,
SV631,0,0,0,184,47,54,28,3,19,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__uncultured,
SV140,9,18,16,363,6,6,0,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__uncultured,
SV445,0,0,2,0,0,0,33,52,176,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,
SV866,0,0,0,0,0,0,236,2,5,k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Planctomycetales,f__Planctomycetaceae,g__Planctomyces,
SV441,0,0,2,5,27,12,75,32,111,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
SV20,91,78,188,0,0,0,2,0,0,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__uncultured,
SV88,29,10,29,121,80,29,14,9,16,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__uncultured,
SV109,9,6,22,7,4,0,45,35,129,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Proteiniphilum,
SV57,54,25,50,18,35,15,19,17,54,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Leptospiraceae,g__Leptonema,
SV146,12,5,15,45,106,31,7,17,47,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfomicrobiaceae,g__Desulfomicrobium,
SV782,0,0,0,0,178,80,3,0,2,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,,
SV23,62,59,139,4,7,0,26,1,12,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Paludibacter,
SV38,39,26,81,72,59,16,8,3,19,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XIII,g__Anaerovorax,
SV395,0,2,2,0,4,3,69,32,107,k__Bacteria,p__Hydrogenedentes,,,,,
SV326,0,0,3,0,3,0,48,42,117,k__Bacteria,p__Cyanobacteria,c__ML635J-21,,,,
SV769,0,0,0,0,0,0,193,2,16,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Order III,f__BIgi5,,
SV27,76,58,126,4,6,5,0,5,10,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
SV1408,0,0,0,0,0,0,204,0,0,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosomonas,
SV35,166,54,83,0,0,0,2,0,5,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
SV42,16,34,74,106,38,20,0,0,1,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__uncultured,
SV43,17,38,73,123,4,3,22,0,12,k__Bacteria,p__Hydrogenedentes,,,,,
SV357,3,0,3,0,2,3,91,27,68,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__uncultured,
SV572,0,0,0,0,15,2,0,27,221,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,
SV637,0,0,0,0,186,0,18,19,50,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Desulfuromonadaceae,g__Pelobacter,
SV661,0,0,0,0,0,0,0,82,21,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__uncultured,
SV303,0,3,4,9,0,0,159,5,11,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium,
SV570,0,0,0,0,18,4,15,22,190,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Phaselicystidaceae,g__Phaselicystis,
SV231,0,6,7,0,0,0,115,16,44,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Porticoccaceae,g__C1-B045,
SV717,0,0,0,0,0,0,178,0,3,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Pseudofulvimonas,
SV48,118,27,65,67,7,0,2,3,4,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Blvii28 wastewater-sludge group,
SV1152,0,0,0,0,0,0,28,64,22,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Denitratisoma,
SV229,2,4,7,42,40,18,58,9,32,k__Bacteria,p__Chlorobi,c__Ignavibacteria,o__Ignavibacteriales,f__IheB3-7,,
SV36,24,68,83,27,17,10,0,0,0,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Sulfurospirillum,
SV588,0,0,0,0,116,26,36,7,36,k__Bacteria,p__Cloacimonetes,,,,,
SV783,0,0,0,121,80,42,0,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,
SV578,0,0,0,0,0,0,56,31,84,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Aminobacter,
SV76,9,9,37,141,1,0,53,1,0,k__Bacteria,p__Cloacimonetes,,,,,
SV766,0,0,0,8,2,0,157,0,12,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Competibacteraceae,,
SV184,7,9,10,12,73,30,13,12,31,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Leptospiraceae,g__uncultured,
SV587,0,0,0,0,0,0,20,51,58,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__uncultured,
SV75,11,21,37,12,49,12,21,11,25,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__PL-11B10,,
SV183,2,0,10,0,24,10,30,15,113,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Chitinophagaceae,g__uncultured,
SV402,0,0,2,0,0,2,72,12,96,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,
SV585,0,0,0,36,76,24,19,11,27,k__Bacteria,p__Saccharibacteria,,,,,
SV252,0,0,6,0,0,0,81,14,72,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,
SV613,0,0,0,5,21,7,53,14,79,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
SV58,19,18,50,39,12,2,53,3,6,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__vadinBC27 wastewater-sludge group,
SV64,34,17,42,0,78,32,0,0,3,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,
SV643,0,0,0,39,35,13,7,26,49,k__Bacteria,p__Cloacimonetes,c__FGL12-B44,,,,
SV169,0,0,11,0,0,0,85,11,61,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,
SV113,3,6,22,4,4,0,88,6,39,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azonexus,
SV282,0,0,5,3,3,2,100,10,29,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Phenylobacterium,
SV539,0,0,0,3,24,7,5,19,132,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidia Incertae Sedis,f__Draconibacteriaceae,g__uncultured,
SV103,7,20,24,80,0,0,42,4,14,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
SV569,0,0,0,0,4,0,23,23,117,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Aquamicrobium,
SV97,29,9,26,2,6,0,35,24,18,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__uncultured,
SV39,28,36,80,25,8,3,4,4,5,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__Spirochaeta 2,
SV837,0,0,0,0,0,0,120,4,17,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Order III,f__BIgi5,,
SV33,39,57,90,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobacteraceae,g__Desulfobotulus,
SV96,16,8,26,59,21,3,30,5,25,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,,
SV418,2,2,2,0,3,0,47,23,54,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Caenispirillum,
SV46,60,14,66,25,32,8,2,2,0,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Acetoanaerobium,
SV550,0,0,0,0,0,0,40,22,80,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,
SV784,0,0,0,109,55,27,0,0,0,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__uncultured,
SV40,66,28,80,4,6,0,5,0,14,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae 1,g__Proteiniclasticum,
SV61,5,12,46,25,16,9,24,5,24,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__PL-11B10,,
SV19,0,12,203,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,
SV386,0,0,2,28,21,4,7,18,78,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,
SV532,1,0,0,0,79,54,0,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,
SV60,12,20,46,2,4,0,31,8,25,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Arcobacter,
SV610,0,0,0,31,43,26,13,9,14,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,
SV599,0,0,0,40,28,17,39,3,19,k__Bacteria,p__Chlorobi,c__Ignavibacteria,o__Ignavibacteriales,f__SR-FBR-L83,,
SV589,0,0,0,0,0,0,28,27,57,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Nitratireductor,
SV31,13,27,96,0,0,0,15,2,14,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfomicrobiaceae,g__Desulfomicrobium,
SV592,0,0,0,0,0,2,30,24,59,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillales Incertae Sedis,g__Reyranella,
SV454,2,0,1,17,7,12,28,16,35,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__uncultured,
SV147,17,7,15,0,2,0,52,9,28,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,g__Hyphomonas,
SV602,0,0,0,0,0,0,98,0,26,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,
SV71,54,7,39,0,6,0,5,15,26,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus,
SV69,56,6,40,9,15,4,6,9,17,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azovibrio,
