OTU,S1,S2,S3,S4,S5,S6,S7,S8,S9,Kingdom,Phylum,Class,Order,Family,Genus,Species
SV1,27875,15378,31436,5407,1614,485,10,3,8,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Desulfuromonadaceae,g__Desulfuromonas,
SV541,0,2,0,21577,17071,8771,131,9,127,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__BVA18,,
SV390,0,0,2,6153,17042,5144,3266,2044,8646,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Trichococcus,
SV470,12183,0,0,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Desulfuromonadaceae,g__Desulfuromonas,
SV10,265,159,383,313,342,105,342,668,3073,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__KD1-131,,
SV115,16,15,21,225,66,50,352,773,2831,k__Bacteria,p__Verrucomicrobia,c__OPB35 soil group,,,,
SV271,0,6,5,145,99,39,388,568,1681,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,
SV28,110,45,121,21,37,17,284,427,1541,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__uncultured,
SV91,5,14,28,1148,1214,510,18,51,134,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__WCHB1-69,,
SV221,6,0,7,2,18,7,522,224,1519,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Aquimonas,
SV7,437,232,486,311,474,224,120,40,173,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__vadinBC27 wastewater-sludge group,
SV16,24,82,251,4,12,2,1234,69,164,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Thauera,
SV564,0,0,0,0,8,0,166,339,1330,k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Planctomycetales,f__Planctomycetaceae,g__Pirellula,
SV53,21,12,58,9,17,5,667,201,707,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Hydrogenophaga,
SV78,12,14,36,0,0,0,0,456,867,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Marinilabiaceae,g__Mangroviflexus,
SV3,0,399,877,290,101,62,62,0,27,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Blvii28 wastewater-sludge group,
SV12,352,132,330,489,164,107,118,38,164,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__uncultured,
SV127,59,6,18,3,50,9,525,119,657,k__Bacteria,p__Bacteroidetes,c__Bacteroidetes VC2.1 Bac22,,,,
SV4,506,219,661,38,51,17,82,38,130,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__uncultured,
SV41,5,13,75,0,34,2,17,141,1313,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azoarcus,
SV6,858,190,563,12,53,22,0,39,40,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Blvii28 wastewater-sludge group,
SV110,4,4,22,78,68,42,535,112,312,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,
